name,r_group,screen_group,smiles,n_atoms,mw,n_aromatic,n_naph_matches,n_chiral,status
Pyr_H,Pyr,H,CC(Oc1cc(OC(C)Oc2cc(-c3cccc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cccc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,124,1612.8,110,24,3,OK
Pyr_Me,Pyr,Me,Cc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(C)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,126,1640.9,110,24,3,OK
Pyr_Et,Pyr,Et,CCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CC)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,128,1668.9,110,24,3,OK
Pyr_nPr,Pyr,nPr,CCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCC)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,130,1697.0,110,24,3,OK
Pyr_iPr,Pyr,iPr,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)C)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)C)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,130,1697.0,110,24,3,OK
Pyr_nBu,Pyr,nBu,CCCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCCC)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,132,1725.0,110,24,3,OK
Pyr_tBu,Pyr,tBu,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)(C)C)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)(C)C)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,132,1725.0,110,24,3,OK
Pyr_cHex,Pyr,cHex,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C4CCCCC4)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C3CCCCC3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1777.1,110,24,3,OK
Pyr_MeO,Pyr,MeO,COc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OC)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,128,1672.9,110,24,3,OK
Pyr_OEt,Pyr,OEt,CCOc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OCC)cc6ccc(-c7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(-c6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,130,1700.9,110,24,3,OK
Pyr_F,Pyr,F,CC(Oc1cc(OC(C)Oc2cc(-c3cc(F)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(F)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,126,1648.8,110,24,3,OK
Pyr_Cl,Pyr,Cl,CC(Oc1cc(OC(C)Oc2cc(-c3cc(Cl)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(Cl)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,126,1681.7,110,24,3,OK
Pyr_CF3,Pyr,CF3,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(F)(F)F)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(F)(F)F)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,132,1748.8,110,24,3,OK
Pyr_CN,Pyr,CN,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C#N)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C#N)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,128,1662.9,110,24,3,OK
Pyr_NMe2,Pyr,NMe2,CC(Oc1cc(OC(C)Oc2cc(-c3cc(N(C)C)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(N(C)C)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,130,1699.0,110,24,3,OK
Pyr_Ph,Pyr,Ph,CC(Oc1cc(OC(C)Oc2cc(-c3cc(-c4ccccc4)cc4ccc(-c5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(-c4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(-c3ccccc3)cc3ccc(-c4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(-c3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1765.0,122,24,3,OK
EtynPyr_H,EtynPyr,H,CC(Oc1cc(OC(C)Oc2cc(-c3cccc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cccc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,132,1708.9,110,24,3,OK
EtynPyr_Me,EtynPyr,Me,Cc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(C)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,134,1737.0,110,24,3,OK
EtynPyr_Et,EtynPyr,Et,CCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1765.0,110,24,3,OK
EtynPyr_nPr,EtynPyr,nPr,CCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1793.1,110,24,3,OK
EtynPyr_iPr,EtynPyr,iPr,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)C)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)C)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1793.1,110,24,3,OK
EtynPyr_nBu,EtynPyr,nBu,CCCCc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(CCCC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,140,1821.1,110,24,3,OK
EtynPyr_tBu,EtynPyr,tBu,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(C)(C)C)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(C)(C)C)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,140,1821.1,110,24,3,OK
EtynPyr_cHex,EtynPyr,cHex,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C4CCCCC4)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C3CCCCC3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,144,1873.2,110,24,3,OK
EtynPyr_MeO,EtynPyr,MeO,COc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1769.0,110,24,3,OK
EtynPyr_OEt,EtynPyr,OEt,CCOc1cc(-c2cc(OC(C)Oc3cc(OC(C)Oc4cc(-c5cc(OCC)cc6ccc(C#Cc7cc8ccc9cccc%10ccc(c7)c8c9%10)cc56)c5cc(C#Cc6cc7ccc8cccc9ccc(c6)c7c89)ccc5c4)cc(C(N)P(=O)(O)O)c3)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1797.0,110,24,3,OK
EtynPyr_F,EtynPyr,F,CC(Oc1cc(OC(C)Oc2cc(-c3cc(F)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(F)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,134,1744.9,110,24,3,OK
EtynPyr_Cl,EtynPyr,Cl,CC(Oc1cc(OC(C)Oc2cc(-c3cc(Cl)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(Cl)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,134,1777.8,110,24,3,OK
EtynPyr_CF3,EtynPyr,CF3,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C(F)(F)F)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C(F)(F)F)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,140,1844.9,110,24,3,OK
EtynPyr_CN,EtynPyr,CN,CC(Oc1cc(OC(C)Oc2cc(-c3cc(C#N)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(C#N)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,136,1758.9,110,24,3,OK
EtynPyr_NMe2,EtynPyr,NMe2,CC(Oc1cc(OC(C)Oc2cc(-c3cc(N(C)C)cc4ccc(C#Cc5cc6ccc7cccc8ccc(c5)c6c78)cc34)c3cc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)ccc3c2)cc(C(N)P(=O)(O)O)c1)Oc1cc(-c2cc(N(C)C)cc3ccc(C#Cc4cc5ccc6cccc7ccc(c4)c5c67)cc23)c2cc(C#Cc3cc4ccc5cccc6ccc(c3)c4c56)ccc2c1,138,1795.1,110,24,3,OK
